"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACHEM","EQ","03-Feb-2020","        740.70","        740.70","        753.00","        719.40","        751.00","        741.55","        736.62","    1867055","          1375313409.65","      39977","     181193","          9.70"
"TATACHEM","EQ","04-Feb-2020","        741.55","        750.00","        752.10","        729.00","        735.60","        735.85","        735.88","     700440","           515441736.45","      24400","     147990","         21.13"
"TATACHEM","EQ","05-Feb-2020","        735.85","        740.00","        762.00","        731.05","        749.00","        750.45","        750.86","    1905139","          1430493375.80","      31912","    1028412","         53.98"
"TATACHEM","EQ","06-Feb-2020","        750.45","        753.90","        756.50","        746.55","        754.05","        753.15","        751.30","     819970","           616047170.20","      12797","     287607","         35.08"
"TATACHEM","EQ","07-Feb-2020","        753.15","        754.90","        769.65","        751.80","        764.70","        763.80","        762.16","    1552526","          1183266527.70","      23192","     754613","         48.61"
"TATACHEM","EQ","10-Feb-2020","        763.80","        766.80","        766.80","        754.65","        764.40","        761.45","        760.01","     352730","           268079455.15","       6329","     130065","         36.87"
"TATACHEM","EQ","11-Feb-2020","        761.45","        765.15","        779.80","        756.10","        756.15","        758.25","        767.31","    1128876","           866201676.80","      26495","     337371","         29.89"
"TATACHEM","EQ","12-Feb-2020","        758.25","        760.05","        763.95","        755.60","        757.00","        756.65","        759.25","     364940","           277082337.15","       7393","     157122","         43.05"
"TATACHEM","EQ","13-Feb-2020","        756.65","        756.05","        763.25","        753.00","        760.00","        760.75","        758.26","     425579","           322698208.00","       8392","     100157","         23.53"
"TATACHEM","EQ","14-Feb-2020","        760.75","        757.05","        770.00","        757.05","        765.00","        766.65","        764.45","    1175223","           898404891.45","      23085","     835166","         71.06"
"TATACHEM","EQ","17-Feb-2020","        766.65","        769.00","        773.00","        749.50","        754.70","        752.70","        760.55","     621265","           472502423.75","      17848","     180608","         29.07"
"TATACHEM","EQ","18-Feb-2020","        752.70","        755.00","        757.00","        743.10","        750.00","        749.60","        748.66","     573449","           429317326.00","      12902","     180438","         31.47"
"TATACHEM","EQ","19-Feb-2020","        749.60","        755.00","        768.00","        748.30","        764.00","        764.75","        758.62","     742689","           563420047.55","      19209","     254209","         34.23"
"TATACHEM","EQ","20-Feb-2020","        764.75","        761.00","        778.50","        760.10","        763.00","        763.65","        769.27","     763089","           587022774.85","      12709","     366214","         47.99"
"TATACHEM","EQ","24-Feb-2020","        763.65","        761.00","        769.80","        747.55","        749.80","        749.80","        762.04","     405545","           309041929.15","      10564","      91576","         22.58"
"TATACHEM","EQ","25-Feb-2020","        749.80","        752.10","        754.30","        740.35","        750.00","        749.60","        749.05","    2778473","          2081203464.15","      17750","    2248186","         80.91"
"TATACHEM","EQ","26-Feb-2020","        749.60","        751.00","        752.00","        736.00","        745.00","        743.95","        742.36","    2579106","          1914629296.25","      28208","    1770042","         68.63"
"TATACHEM","EQ","27-Feb-2020","        743.95","        748.00","        748.50","        725.25","        731.65","        731.80","        733.18","    1964146","          1440065780.40","      16582","    1314731","         66.94"
"TATACHEM","EQ","28-Feb-2020","        731.80","        713.50","        720.45","        701.10","        717.00","        714.00","        708.40","    1827064","          1294290599.30","      27767","    1058173","         57.92"
"TATACHEM","EQ","02-Mar-2020","        714.00","        719.20","        728.85","        697.65","        709.00","        705.60","        707.41","    2381040","          1684363461.70","      26198","    1478778","         62.11"
"TATACHEM","EQ","03-Mar-2020","        705.60","        708.90","        733.00","        702.10","        729.95","        724.45","        715.97","    2400104","          1718397073.30","      29808","    1315488","         54.81"
