"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANDHANBNK","EQ","31-Dec-2019","        504.65","        504.65","        516.15","        495.10","        509.80","        508.25","        503.92","    1965980","           990699088.50","      37736","    1057998","         53.82"
"BANDHANBNK","EQ","01-Jan-2020","        508.25","        510.80","        511.75","        501.00","        503.05","        503.00","        505.48","     520264","           262982002.10","      13964","     190947","         36.70"
"BANDHANBNK","EQ","02-Jan-2020","        503.00","        502.95","        502.95","        495.25","        499.10","        499.00","        497.93","    1835744","           914064126.55","      33213","    1283398","         69.91"
"BANDHANBNK","EQ","03-Jan-2020","        499.00","        496.00","        514.70","        496.00","        507.90","        506.15","        507.45","    1466650","           744252947.70","      41117","     802203","         54.70"
"BANDHANBNK","EQ","06-Jan-2020","        506.15","        505.00","        505.50","        494.05","        498.50","        498.10","        499.32","    1192074","           595227559.75","      40039","     624966","         52.43"
"BANDHANBNK","EQ","07-Jan-2020","        498.10","        502.90","        504.00","        490.30","        491.80","        493.35","        498.08","    1187941","           591691298.40","      26112","     767008","         64.57"
"BANDHANBNK","EQ","08-Jan-2020","        493.35","        485.55","        493.70","        483.10","        484.60","        484.95","        486.83","    1147100","           558445011.70","      28495","     659628","         57.50"
"BANDHANBNK","EQ","09-Jan-2020","        484.95","        491.80","        493.75","        484.25","        487.25","        487.10","        487.66","    1262680","           615761904.05","      45320","     754727","         59.77"
"BANDHANBNK","EQ","10-Jan-2020","        487.10","        489.00","        496.85","        484.00","        490.95","        492.15","        490.38","    2057855","          1009130563.60","      45388","    1053788","         51.21"
"BANDHANBNK","EQ","13-Jan-2020","        492.15","        495.80","        517.90","        492.20","        517.20","        514.00","        507.96","    2760791","          1402366428.70","      64515","    1473540","         53.37"
"BANDHANBNK","EQ","14-Jan-2020","        514.00","        521.10","        525.00","        498.20","        518.45","        518.55","        513.42","    8854312","          4545975727.80","     133012","    2518966","         28.45"
"BANDHANBNK","EQ","15-Jan-2020","        518.55","        519.50","        526.00","        491.00","        491.20","        492.30","        501.46","    3792641","          1901867885.70","      93126","    1945631","         51.30"
"BANDHANBNK","EQ","16-Jan-2020","        492.30","        495.50","        498.00","        473.80","        474.80","        475.85","        480.69","    3387070","          1628117705.85","     120420","    1817468","         53.66"
"BANDHANBNK","EQ","17-Jan-2020","        475.85","        477.00","        484.90","        475.15","        480.55","        481.00","        479.94","    2620773","          1257801977.25","      57437","    1276349","         48.70"
"BANDHANBNK","EQ","20-Jan-2020","        481.00","        482.00","        486.55","        478.35","        484.50","        483.70","        483.25","    1033438","           499409005.10","      39018","     488717","         47.29"
"BANDHANBNK","EQ","21-Jan-2020","        483.70","        481.00","        483.90","        476.00","        477.00","        476.75","        478.92","    1253858","           600494266.25","      34512","     772649","         61.62"
"BANDHANBNK","EQ","22-Jan-2020","        476.75","        479.80","        487.50","        473.50","        474.60","        475.50","        481.22","    2611708","          1256797173.65","      58468","    1110968","         42.54"
"BANDHANBNK","EQ","23-Jan-2020","        475.50","        476.80","        480.30","        474.00","        474.05","        475.10","        477.01","    1265094","           603465729.20","      31436","     651189","         51.47"
