"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRTRANSFIN","EQ","24-Jul-2020","        703.15","        698.70","        711.00","        685.00","        710.00","        706.85","        699.06","    3049720","          2131933165.50","      52870","     473322","         15.52"
"SRTRANSFIN","EQ","27-Jul-2020","        706.85","        712.00","        712.95","        679.40","        682.00","        682.70","        688.92","    2878210","          1982846020.30","      53238","     477655","         16.60"
"SRTRANSFIN","EQ","28-Jul-2020","        682.70","        687.40","        698.60","        670.70","        695.85","        695.30","        684.56","    3462594","          2370369765.30","      58342","     429609","         12.41"
"SRTRANSFIN","EQ","29-Jul-2020","        695.30","        695.00","        729.55","        691.60","        725.40","        724.55","        716.89","    5658094","          4056233884.85","     101148","     893437","         15.79"
"SRTRANSFIN","EQ","30-Jul-2020","        724.55","        730.00","        736.80","        680.00","        681.30","        683.60","        699.73","    5020269","          3512824742.80","     101757","     928294","         18.49"
"SRTRANSFIN","EQ","31-Jul-2020","        683.60","        685.00","        694.95","        672.20","        692.50","        691.30","        684.44","    3659572","          2504741385.25","      71599","     370986","         10.14"
"SRTRANSFIN","EQ","03-Aug-2020","        691.30","        692.40","        704.50","        668.50","        670.00","        671.00","        688.52","    3199857","          2203158368.75","      70096","     494459","         15.45"
"SRTRANSFIN","EQ","04-Aug-2020","        671.00","        673.00","        677.70","        646.00","        654.70","        654.70","        655.07","    4261343","          2791479073.20","      86012","     919443","         21.58"
"SRTRANSFIN","EQ","05-Aug-2020","        654.70","        658.40","        669.50","        636.10","        642.00","        642.30","        648.81","    4851670","          3147821950.10","     112802","    1097438","         22.62"
"SRTRANSFIN","EQ","06-Aug-2020","        642.30","        644.00","        666.00","        643.05","        660.90","        660.75","        656.21","    4255399","          2792423038.10","      80617","     835740","         19.64"
"SRTRANSFIN","EQ","07-Aug-2020","        660.75","        663.00","        680.00","        659.00","        677.05","        676.75","        669.07","    2896072","          1937688980.25","      57059","     523536","         18.08"
"SRTRANSFIN","EQ","10-Aug-2020","        676.75","        678.00","        686.60","        670.10","        674.00","        674.35","        678.95","    2629986","          1785618235.15","      47550","     320102","         12.17"
"SRTRANSFIN","EQ","11-Aug-2020","        674.35","        680.00","        682.00","        665.50","        672.80","        675.35","        674.92","    2081802","          1405055239.80","      32861","     367416","         17.65"
"SRTRANSFIN","EQ","12-Aug-2020","        675.35","        670.00","        672.00","        650.00","        665.00","        664.85","        659.34","    4022361","          2652085844.05","      86247","     799042","         19.86"
"SRTRANSFIN","EQ","13-Aug-2020","        664.85","        668.40","        705.50","        664.40","        704.00","        702.30","        686.22","    5556702","          3813127457.90","      97633","    1511727","         27.21"
"SRTRANSFIN","EQ","14-Aug-2020","        702.30","        708.00","        730.60","        676.70","        685.90","        686.35","        705.19","   12133419","          8556306531.05","     199279","    1193087","          9.83"
"SRTRANSFIN","EQ","17-Aug-2020","        686.35","        698.00","        708.90","        675.55","        680.70","        679.00","        691.26","    4278873","          2957825392.45","      77109","     561441","         13.12"
"SRTRANSFIN","EQ","18-Aug-2020","        679.00","        684.50","        694.00","        673.10","        692.60","        691.30","        683.24","    4431004","          3027417785.85","      72608","     720654","         16.26"
"SRTRANSFIN","EQ","19-Aug-2020","        691.30","        698.00","        707.90","        685.90","        690.00","        688.95","        697.38","    3972670","          2770441331.65","      72252","     545387","         13.73"
"SRTRANSFIN","EQ","20-Aug-2020","        688.95","        686.40","        696.50","        678.05","        688.90","        687.80","        687.29","    2925171","          2010434236.85","      49301","     425789","         14.56"
"SRTRANSFIN","EQ","21-Aug-2020","        687.80","        697.00","        699.00","        684.05","        687.00","        686.50","        690.35","    1820746","          1256957841.35","      32925","     303672","         16.68"
"SRTRANSFIN","EQ","24-Aug-2020","        686.50","        690.00","        691.00","        680.55","        685.40","        684.30","        685.66","    2263421","          1551930865.30","      36508","     521853","         23.06"
"SRTRANSFIN","EQ","25-Aug-2020","        684.30","        688.60","        706.80","        688.00","        696.50","        694.95","        698.61","    4374895","          3056357597.95","      74378","     701034","         16.02"
"SRTRANSFIN","EQ","26-Aug-2020","        694.95","        700.00","        731.00","        693.15","        729.75","        726.35","        713.47","    8429631","          6014298003.15","     134323","    1910551","         22.66"
"SRTRANSFIN","EQ","27-Aug-2020","        726.35","        735.00","        748.00","        717.10","        724.50","        720.40","        731.64","    6888505","          5039875241.65","     113414","    1065734","         15.47"
"SRTRANSFIN","EQ","28-Aug-2020","        720.40","        728.70","        783.70","        725.00","        774.35","        772.75","        763.30","   13556969","         10348077446.55","     220293","    1558784","         11.50"
"SRTRANSFIN","EQ","31-Aug-2020","        772.75","        780.20","        792.90","        698.00","        700.90","        702.45","        732.51","    9446240","          6919465901.35","     158814","    1753599","         18.56"
"SRTRANSFIN","EQ","01-Sep-2020","        702.45","        709.00","        720.00","        677.40","        711.00","        706.30","        699.35","    6624892","          4633112077.40","     116913","     515827","          7.79"
